"Igloo-Rank","Igloo-TotalOccurences","Igloo-Search_Term","Igloo-SSR-content_name","Igloo-SSR-content_id","Igloo-SSR-content_type","Igloo-QSR-content_name","Igloo-QSR-content_id","Igloo-QSR-content_type","Amp-content_name","Amp-content_id","Amp-content_type","SSR PASS/FAIL","QSR PASS/FAIL"
"1","18501","christmas","iHeartChristmas Stations","0","link","IHAD-FL","4596","live","iHeartChristmas Stations","688","link","FAIL","FAIL"
"2","11375","sleep","Sleep","0","link","Sleep and Relaxation Sounds","65036954","podcast","Sleep","2282","link","FAIL","FAIL"
"3","11094","drake","Drake","44512","artist","Drake","44512","artist","Drake","44512","ARTIST","PASS","PASS"
"4","9316","chris brown","Chris Brown","33210","artist","Chris Brown","33210","artist","Chris Brown","33210","ARTIST","PASS","PASS"
"5","7950","sports","Sports","0","link","FSR-PR","4732","live","Sports","686","link","FAIL","FAIL"
"6","7940","football","Sports","0","link","College Football Live","29430050","podcast","Sports","686","link","FAIL","FAIL"
"7","7572","pitbull","Pitbull","42201","artist","Pitbull","42201","artist","Pitbull","42201","artist","PASS","PASS"
"8","6281","prince","Prince","3403","artist","Prince","3403","artist","Prince","3403","ARTIST","PASS","PASS"
"9","6265","rush","Rush","16234","artist","Rush","16234","artist","Rush","16234","ARTIST","PASS","PASS"
"10","6262","nelly","Nelly","40199","artist","Nelly","40199","artist","Nelly","40199","ARTIST","PASS","PASS"
"11","4814","20/20","20/20","22669940","podcast","20/20","22669940","podcast","iHeart2000s Radio","6850","ARTIST","FAIL","FAIL"
"12","4719","country","CTYM-FL","4418","live","CTYM-FL","4418","live","iHeartCountry Radio","4418","live","PASS","PASS"
"13","4380","chr","iHeartChristmas Stations","0","link","IHAD-FL","4596","live","iHeartChristmas Stations","688","link","FAIL","FAIL"
"14","4064","journey","Journey","3801","artist","Journey","3801","artist","Journey","3801","ARTIST","PASS","PASS"
"15","3938","chris","Chris Brown","33210","artist","IHAD-FL","4596","live","iHeart Christmas","4596","ARTIST","FAIL","FAIL"
"16","3851","genesis","Genesis","4687","artist","Genesis","4687","artist","Genesis","4687","ARTIST","PASS","PASS"
"17","3828","beyonce","Beyoncé","89266","artist","Beyoncé","89266","artist","Beyoncé","89266","ARTIST","PASS","PASS"
"18","3596","hit","CHRM-FL","4422","live","CHRM-FL","4422","live","Big Classic Hits","4455","ARTIST","FAIL","FAIL"
"19","3520","ghost","Ghost","30001999","artist","Ghost","30001999","artist","Ghost","30001999","ARTIST","PASS","PASS"
